file_name,uni,wylie,url,dept,grade,char_len,audio_len,path,inf
STT_TT00417_612.600-616.700,གྲྭ་བ་ཨ་ནེ་ད། ཆོས་ད་ལྷ་བླ་མ་ལ་མ་ལྟོས་པའི། ཁྱིམ་པ་མི་ནག་གི་འཚོ་བ་ཅིག ཡོང་ཤེས་སྣང་ཡོད་མ་རེད་ལ།  ,grwa ba a ne da/_chos da lha bla ma la ma ltos pa'i/_khyim pa mi nag gi 'tsho ba cig_yong shes snang yod ma red la/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00417_612.600-616.700.wav,STT_TT,3,94,4.100000000000023,wav16k/STT_TT00417_612.600-616.700.wav,གྲྭ་བ་ཨ་ནེ་དང་ཆོས་དང་ལྷ་བླ་མ་ལ་མ་ལྟོས་པའི་ཁྱིམ་པ་མི་ནག་གི་འཚོ་བ་ཅིག་ཡོང་ཤེས་སྟང་ཡོད་མ་རེད་ལ།
STT_TT00414_175.050-177.050,མགོ་ད་དེ་བ་ཅིག གྱོང་རག་བྲོར་བྱེད་ཀི་འདུག་ན། སྲུང་དགོས་རེད་བ།  ,mgo da de ba cig_gyong rag bror byed ki 'dug na/_srung dgos red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00414_175.050-177.050.wav,STT_TT,3,62,2.0,wav16k/STT_TT00414_175.050-177.050.wav,མགོ་དང་དེ་བ་ཅིག གྱོང་རག་རོ་བྱེད་ཀི་འདུག་ན། སྲུང་དགོས་རེད་བ།
STT_TT00399_493.800-495.550,ང་ཚོའི་ལུས་པོ་དེ། པ་བ་ཨ་མའི་ཁུ་ཁྲག་ལ་བརྟེན།  ,nga tsho'i lus po de/_pa ba a ma'i khu khrag la brten/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00399_493.800-495.550.wav,STT_TT,3,45,1.75,wav16k/STT_TT00399_493.800-495.550.wav,ང་ཚོའི་ལུས་པོ་དེ།་པ་བ་ཨ་མའི་ཁུ་ཁྲག་དེ།
STT_TT00623_0264_2200622_to_2205691,གང་ལྟར་ཉུང་ཤོས་ལ་ཡ་ཅིག ལོ་གཅིག་གཉིས་ཅིག མ་ཡི་ནུ་མས་གསོས་བྱས། ནུ་ཞོས་གསོས་བྱས།  ,gang ltar nyung shos la ya cig_lo gcig gnyis cig_ma yi nu mas gsos byas/_nu zhos gsos byas/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_TT00623_0264_2200622_to_2205691.wav,STT_TT,3,79,5.069,wav16k/STT_TT00623_0264_2200622_to_2205691.wav,གང་ལྟར་ཉུང་ཤོས་ལ་ཡ་ཅིག་ལོ་གཅིག་གཉིས་ཅིག མ་ཡི་ནུ་མས་གསོས་བྱས། ནུ་ཤོས་གསོས་བྱས།
STT_NS_M0230_0163_909069_to_912738,སོ་སོ་དབྱིངས་ག་བ་ལ་ཡོད་མེད་ཅིག་ཡོད་རཱ། སོ་སོ་དབྱིངས་ག་བ་ལ་ཡོད་མེད་དེ་ཚོ་ཚང་མ་ ,so so dbyings ga ba la yod med cig yod rA/_so so dbyings ga ba la yod med de tsho tshang ma _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0230_0163_909069_to_912738.wav,STT_NS,3,78,3.669,wav16k/STT_NS_M0230_0163_909069_to_912738.wav,སོ་སོ་དབྱིངས་ག་བ་ལ་ཡོད་མེད་ཅིག་ཡོད་རཱ། སོ་སོ་དབྱིངས་ག་བ་ལ་ཡོད་མེད་དེ་ཚོ་ཚང་མ།
STT_NS_M0226_0020_135373_to_142987,ཡོད་རཱ་ཡིན་ནས་ད་ག་ལེར་ག་ལེར་ག་ལེར་བྱས་ནས་རཱ། ཨེ་ནས་ཨེམ་རྗེ་ག་ལེར་ག་ལེར་དོན་བསླེབ་ཡ་ཡོད་རཱ། ཨེ་ནས་གཞི་ནས་མི་དེ་ཚོ་མགོ་ཚོད་ཡ་ཅིག་ཡོད་རཱ།  ,yod rA yin nas da ga ler ga ler ga ler byas nas rA/_e nas em rje ga ler ga ler don bsleb ya yod rA/_e nas gzhi nas mi de tsho mgo tshod ya cig yod rA/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0226_0020_135373_to_142987.wav,STT_NS,3,136,7.614,wav16k/STT_NS_M0226_0020_135373_to_142987.wav,ཡོད་རཱ། ཡིན་ནས་ད་ག་ལེར་ག་ལེར་ག་ལེར་བྱས་ནས་རཱ། ཨེ་ནས་ཨེམ་རྗེ་ག་ལེར་ག་ལེར་དོན་སླེབས་ཡ་རཱ། ཨེ་ནས་གཞི་ནས་མི་དེ་ཚོ་མགོ་འཚོས་ཡ་ཅིག་ཡོད་རཱ།
STT_NS_M0230_0032_173322_to_177723,ཅིག་སོ་སོ་ག་རེ་དགའ་བོ་ཡོད་མེད་གཅིག་ཡོད་རཱ། འདི་སོ་སོ་ཧ་གོ་ཐུབ་པ་བྱས་ནས་ཨེ་ནས་ ,cig so so ga re dga' bo yod med gcig yod rA/_'di so so ha go thub pa byas nas e nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0230_0032_173322_to_177723.wav,STT_NS,3,78,4.401,wav16k/STT_NS_M0230_0032_173322_to_177723.wav,ཅིག་སོ་སོ་ག་རེ་དགའ་བོ་ཡོད་མེད་ཅིག་ཡོད་རཱ། འདི་སོ་སོ་ཧ་གོ་ཐུབ་པ་བྱས་ནས་ཨེ་ནས།
STT_NS_M0228_0148_1255352_to_1258199,དཔེ་རྫིག་པོ་མཐོང་སྲིད་ཀི་རེད། ཁྱེད་རང་ཟིང་ཚ་པོ་མཐོང་སྲིད་གི་རེད་རེད་བ།  ,dpe rdzig po mthong srid ki red/_khyed rang zing tsha po mthong srid gi red red ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0228_0148_1255352_to_1258199.wav,STT_NS,3,72,2.847,wav16k/STT_NS_M0228_0148_1255352_to_1258199.wav,དཔེ་རྫིག་པོ་མཐོང་སྲིད་ཀི་རེད། ཁྱེད་རང་ཟིང་ཚ་བོ་མཐོང་སྲིད་ཀི་རེད་རེད་བ།
STT_NS_M0232_0180_1475230_to_1477431,རྒྱལ་པོ་དེ་ཡི་མིང་ཡང་ག་རེ་ཟ་ལྟ་བ།  ,rgyal po de yi ming yang ga re za lta ba/__,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0232_0180_1475230_to_1477431.wav,STT_NS,3,35,2.201,wav16k/STT_NS_M0232_0180_1475230_to_1477431.wav,རྒྱལ་པོ་དེའི་མིང་ཡང་ག་རེ་ཟ་ལྟ།
STT_NS_M0229_0164_1541629_to_1549718,ཁྱེད་རང་གལ་སྲིད་གཟུགས་པོ་རྒྱགས་དྲགས་འདུག་བསམ་གི་ཡོད་ན། ཡར་ལངས་ནས་སོ་སོ་ཡི་ག་རེ་བྱེད་དགོས་རེད། གཅིག་ལུས་རྩལ་འདྲ་བོ་རྩེ་ཡ་འདྲ་བོ་དང་ཨེ་ནས་ ,khyed rang gal srid gzugs po rgyags drags 'dug bsam gi yod na/_yar langs nas so so yi ga re byed dgos red/_gcig lus rtsal 'dra bo rtse ya 'dra bo dang e nas _,https://d38pmlk0v88drf.cloudfront.net/wav16k/STT_NS_M0229_0164_1541629_to_1549718.wav,STT_NS,3,137,8.089,wav16k/STT_NS_M0229_0164_1541629_to_1549718.wav,ཁྱེད་རང་གལ་སྲིད་གཟུགས་པོ་རྒྱགས་དྲགས་འདུག་བསམ་གི་ཡོད་ན་ཡར་ལངས་ནས་སོ་སོ་གིས་ག་རེ་བྱེད་དགོས་རེད། ཅིག་ལུས་རྩལ་འདྲ་བོ་རྩེ་ཡ་འདྲ་བོ་དང་ཨེ་ནས།
